model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std,NSS_mean_mean,NSS_mean_std,AUC_mean_mean,AUC_mean_std,CC_partial_mean_mean,CC_partial_mean_std
claude-opus-4.6,desktop,0.38322708581747494,0.1724378208525372,0.41352129702433743,0.08574851428155707,1.4982407343363384,0.6395640232958647,0.943195028022398,0.5102992889317391,0.7384992874198275,0.0809889902189473,0.2833116014989956,0.19657736186640706
claude-opus-4.6,mobile,0.2356460013691246,0.1884319402767466,0.36489027660533546,0.10163037272643673,2.4892134321634427,1.08266632669853,0.49908784545273255,0.44257049136473203,0.6509383780575441,0.10101525651758918,0.13505904282594403,0.17868481238817824
claude-opus-4.6,poster,0.3123170373984396,0.16856586074403998,0.39015496718634207,0.10058214246810679,1.961791877452137,1.1828404613791952,0.6952168228676567,0.4113776925951247,0.6772458273378701,0.10977832220880059,0.22146187170431927,0.19510043562327228
claude-opus-4.6,web,0.2805083046734098,0.16163793227406567,0.3681990054239045,0.08138972754008755,1.7672755368650317,0.7390310749877866,0.6743646904983355,0.4239246258885922,0.6956071741837425,0.08698736549418458,0.15185838095612939,0.16453876638364057
claude-sonnet-4.6,desktop,0.3278856605075926,0.17228783595473704,0.385115515492236,0.08261255623696272,1.5892165430595941,0.6488644869461584,0.8199355157330048,0.4964231771792766,0.7108842843865483,0.09079227161116897,0.2681461347774379,0.18235231521835404
claude-sonnet-4.6,mobile,0.14054113953329864,0.17761382231147071,0.3013429233195609,0.10861750219994667,3.3655265648710917,1.5208152270612574,0.3051568880282966,0.3991998014970071,0.5847400493145032,0.11328906535577808,0.09189596555755944,0.16349191738479288
claude-sonnet-4.6,poster,0.18665301930540196,0.15994284822848037,0.33531218208560987,0.09639470300688933,2.525217288630639,1.4395174299959748,0.41650343716259824,0.3854208503045543,0.604033242412888,0.11917263082314042,0.14891788666222863,0.17492921167788428
claude-sonnet-4.6,web,0.19528284038772173,0.1422670256557022,0.3256592250140187,0.07608445712917566,2.1054881198036495,0.9188601170358393,0.47559995136189653,0.3682595185486648,0.6453427244820892,0.09129159270219528,0.11688515905349744,0.13893236783405047
gemini-3.1-flash-lite,desktop,0.32465384240865947,0.1809666709763146,0.3797148777562128,0.09433305243356074,1.913063790503069,1.065340304705834,0.828306608733035,0.5327965552425078,0.7009662328354377,0.10386518794461518,0.29632993668627305,0.18659054978748651
gemini-3.1-flash-lite,mobile,0.27213630977861775,0.1576948173207615,0.36354477125008827,0.09005144207973137,2.664243781789277,1.1731016759459445,0.6026384971638609,0.41196494951845863,0.6551741639925539,0.09779891251538372,0.2152643103322089,0.16950774454519046
gemini-3.1-flash-lite,poster,0.23608160356430863,0.1855891565877877,0.3467970812930016,0.1048422936021973,2.5457869491787055,1.4416296887044946,0.5385800436661721,0.45410028960262516,0.6283270489459416,0.1302236602436037,0.21426026127337874,0.1901054509007814
