baseline,category,CC_mean,CC_std,SIM_mean,SIM_std,KL_mean,KL_std,NSS_mean,NSS_std,AUC_mean,AUC_std
center_g15,desktop,0.022036067934794044,0.2162686927537805,0.24083258509459915,0.10936001031456508,3.9989716506708275,1.4726086567269265,0.06964251160952,0.3437511090292768,0.541802838687591,0.10820582724042559
center_g15,mobile,0.08618429477938873,0.23741371292276545,0.2501464448872655,0.12629050873878134,4.352120410482237,1.7501149463302323,0.09256406052037285,0.36188907533302256,0.5489672146800879,0.120971461711783
center_g15,poster,0.2015326178098385,0.28886627244963947,0.3419806948482552,0.1515309469036289,2.8569923556480084,2.056283166269581,0.3504480249507538,0.47631770067473334,0.6625395254846066,0.10604155035626442
center_g15,web,0.09185650338033094,0.14424967283005408,0.28350105749049226,0.09235031653607652,2.8800004197653957,0.8284635832141171,0.18139586705072358,0.23320600522577067,0.6317424152899102,0.0571049678742342
center_g25,desktop,0.05032390194575265,0.2441474219026207,0.3633101042832305,0.10037789578566554,1.6706821553242583,0.6061471282117487,0.11129008844409957,0.3795157208141689,0.541802838687591,0.10820582724042559
center_g25,mobile,0.11459662560198454,0.27714624991915254,0.3838161213681411,0.1415160268969843,1.7723332946396972,0.8902794835414117,0.13181339991087598,0.4248377359491117,0.5489672146800879,0.120971461711783
center_g25,poster,0.2841944989450162,0.25920085265302756,0.45806582060317147,0.11558738403632546,1.3032649130066154,0.945072128155057,0.4966817134554217,0.4270834652508739,0.6625395254846066,0.10604155035626442
center_g25,web,0.17352712528159928,0.1492672091230944,0.39866375579811153,0.08549149642646602,1.3464507044457057,0.39189484999686713,0.34524204682797993,0.22710735627438158,0.6317424152899102,0.0571049678742342
center_g35,desktop,0.0636418556492346,0.2435799521992003,0.40256014444676963,0.07913917388013604,1.2032971158136125,0.3346751196680029,0.13123462656555498,0.38056470131442166,0.541802838687591,0.10820582724042559
center_g35,mobile,0.13010210789966384,0.27794933156890816,0.43946155327862135,0.13117636711734584,1.1312784049810705,0.537575132466856,0.15301111499678205,0.4311448473925203,0.5489672146800879,0.120971461711783
center_g35,poster,0.30849645050876334,0.2354155270931548,0.470917607979617,0.08536009803859626,1.003728301503896,0.4354734903170108,0.5402357618809395,0.3955385800297174,0.6625395254846066,0.10604155035626442
center_g35,web,0.20769586579136043,0.14251658242260837,0.41488788075972016,0.08165500698957787,1.1521392441786766,0.32348888123969993,0.4122269029236307,0.20928908010310712,0.6317424152899102,0.0571049678742342
mean_gt,desktop,0.3805294352243133,0.1151187477921192,0.49125226564377644,0.054662128302786155,0.8471230230665349,0.1802680068252268,0.6354359909852046,0.2207927514885123,0.6843809035517389,0.0590656660092738
mean_gt,mobile,0.4842495302068138,0.15285462370680433,0.5595460535304355,0.09440626959056148,0.6381667977315861,0.2324904192593996,0.7491860430822495,0.28440405887781317,0.7142556174787476,0.07063723776448863
mean_gt,poster,0.28633677893007364,0.10276499259776599,0.4722301698560384,0.05457711374085918,0.9591073798956572,0.16649510195741268,0.5453470906364561,0.20944607476341473,0.6567433949278875,0.05199214265066867
mean_gt,web,0.4051682798519952,0.1161190900301919,0.464011103451851,0.05576640461606177,0.9179600502015586,0.18820222912241333,0.7932449167023583,0.28452652701755693,0.7207996169288562,0.07231753154382983
mean_gt_cat,desktop,0.35586553314397296,0.16945616007640646,0.48175880097529405,0.06962048936935528,1.009383213735662,0.33667218065774085,0.59157419663746,0.2921387858778111,0.6685060039099631,0.0743375733934487
mean_gt_cat,mobile,0.4625669223801543,0.1607200776395545,0.5559713258937836,0.09900203529387787,0.6800102462981672,0.2581535177392316,0.7005147522755707,0.2465504341113811,0.7077693159454133,0.058543952124060085
mean_gt_cat,poster,0.3366787071292621,0.18373983304326608,0.4852786922695924,0.06893446800285213,1.1181813308494175,0.6568598108891163,0.6140694080883518,0.37223213285283197,0.668458778665826,0.09465115774679742
mean_gt_cat,web,0.3501842947905941,0.13907661522569473,0.45059730637987394,0.0493196029101414,1.0855055012715493,0.22692862816589968,0.6877769168715895,0.30352980990552586,0.6929712067340165,0.06855231044957692
noise,desktop,-0.00036034973312586133,0.0010756603519828463,0.3797195869573823,0.050143139569871355,1.3649548036182924,0.18237205883079352,0.001200366603701977,0.009329477173059606,0.5004056266121562,0.0027272550823245274
noise,mobile,-0.0001356220934688676,0.0004867508054467112,0.4173500438483382,0.07366209011474281,1.2170770338632704,0.2500001472970078,-0.0017586653437981683,0.0069517807279933985,0.4995297503645471,0.0020139008737133013
noise,poster,-0.0003695938936528737,0.0015935553010759987,0.3833748822352487,0.05353190579957381,1.3857301104911828,0.2175592129511897,0.008751935248185102,0.016170375618385222,0.5026256432921279,0.004798273164542983
noise,web,0.0005308573687698192,0.0011548808241599354,0.34347229178917693,0.05875092417561169,1.5579464438501602,0.2790868528843549,0.0021909617375861995,0.006708210494658941,0.5006874080591518,0.0019684139850880533
uniform,desktop,0.0,0.0,0.40800079092004815,0.05809271366236304,1.057851092783597,0.18140126155422495,0.0,0.0,5.5195592642939426e-05,1.1275218364523769e-05
uniform,mobile,0.0,0.0,0.44826358034602565,0.08330886542599829,0.9109561402416032,0.24989510651624744,0.0,0.0,4.194806661235688e-05,2.3447114430980165e-05
uniform,poster,0.0,0.0,0.41433172804686536,0.05998205079654823,1.0789547387564764,0.2183796180620923,0.0,0.0,6.558844648360863e-05,7.287199040469851e-05
uniform,web,0.0,0.0,0.36912707720007487,0.06570266631846779,1.2527119450896556,0.27879927879982913,0.0,0.0,4.0331065270852285e-05,1.4942751863958646e-05
