group_1,group_2,n,mean_diff,ci95_lo,ci95_hi,wilcoxon_stat,p_raw,rank_biserial_r,p_holm,sig_holm_05
claude-opus-4.6,claude-sonnet-4.6,1978,0.0903259494513291,0.08410568332101898,0.09650927170376679,332252.0,8.500679552168979e-143,0.6604876992036198,2.6352106611723836e-141,True
claude-opus-4.6,gemini-3.1-flash-lite,1978,0.051356705063152215,0.04369321253164459,0.059185462828447874,651845.0,7.305888333101535e-38,0.3339110202117175,1.4611776666203069e-36,True
claude-opus-4.6,gemini-3.1-pro,1978,0.07086248831214459,0.06302930438237322,0.0787513476846487,552451.0,3.715458641248357e-63,0.4354769569866817,9.288646603120891e-62,True
claude-opus-4.6,gpt-5.4,1978,-0.023087639165083076,-0.029860137669665675,-0.016580104317659997,802448.0,4.077896283331616e-12,-0.18001707514340412,4.077896283331616e-11,True
claude-opus-4.6,gpt-5.4-mini,1978,0.08270877917524468,0.07579545663070368,0.08956572028549903,437490.0,1.1293412865646568e-100,0.5529500605702649,3.0492214737245735e-99,True
claude-opus-4.6,qwen-3.5-flash,1978,0.09262066991021894,0.08487851872293692,0.1003461972428294,445853.0,1.2057017567930795e-97,0.5444043140538853,3.134824567662007e-96,True
claude-opus-4.6,qwen-3.5-plus,1978,0.0583565901476646,0.051472755372367555,0.06526147872248697,578037.0,5.173182319107081e-56,0.40933185709811465,1.2415637565856995e-54,True
claude-opus-4.6,ui-tars-1.5,1978,0.13251939873819985,0.12339345838491152,0.14207926655349098,359919.0,5.302351237966506e-131,0.6322161257409065,1.537681859010287e-129,True
claude-sonnet-4.6,gemini-3.1-flash-lite,1978,-0.03896924438817689,-0.04591106432372261,-0.032214551523888295,719464.0,1.9635848282338684e-24,-0.2648144240511212,3.1417357251741894e-23,True
claude-sonnet-4.6,gemini-3.1-pro,1978,-0.019463461139184502,-0.0268694304376764,-0.012193711263786124,839904.0,4.7591950374728525e-08,-0.14174259451234933,3.3314365262309966e-07,True
claude-sonnet-4.6,gpt-5.4,1978,-0.11341358861641218,-0.1194672769611956,-0.10755522622246406,226342.0,1.058569012843245e-192,-0.7687120222395823,3.704991544951357e-191,True
claude-sonnet-4.6,gpt-5.4-mini,1978,-0.007617170276084433,-0.013628227971415129,-0.0014880493842900876,901304.0,0.0023407583710979385,-0.07900089463124178,0.009363033484391754,True
claude-sonnet-4.6,qwen-3.5-flash,1978,0.0022947204588898503,-0.00443645554760699,0.009058652473650095,959524.0,0.4523542763903591,0.019508683441045026,0.4523542763903591,False
claude-sonnet-4.6,qwen-3.5-plus,1978,-0.0319693593036645,-0.03829510536287947,-0.02594109412583819,737872.0,2.6333147753962885e-21,-0.24600417630826407,3.686640685554804e-20,True
claude-sonnet-4.6,ui-tars-1.5,1978,0.04219344928687075,0.032917122415430225,0.05186877136674484,753118.0,6.916805825237034e-19,0.23042502392410502,8.300166990284442e-18,True
gemini-3.1-flash-lite,gemini-3.1-pro,1978,0.019505783248992384,0.013466348173188869,0.0256635111690023,834867.0,1.5283440815864527e-08,0.14688966197653727,1.2226752652691622e-07,True
gemini-3.1-flash-lite,gpt-5.4,1978,-0.0744443442282353,-0.0802841879515748,-0.06854345326894741,404448.0,4.249156598483183e-113,-0.5867140874020491,1.1897638475752912e-111,True
