baseline,image_id,category,CC,SIM,KL,NSS,AUC
uniform,fbd704,desktop,0.0,0.2212270397657624,1.8858198027542816,0.0,0.0002376425855513308
uniform,a2da71,desktop,0.0,0.2273998480276275,1.7603269941087034,0.0,0.000275178866263071
uniform,8b0b52,desktop,0.0,0.2547838670465053,1.6468595084605828,0.0,0.0002587991718426501
uniform,2021b7,desktop,0.0,0.20163067529762424,1.982806730831039,0.0,0.0002587991718426501
uniform,95b2d2,desktop,0.0,0.20597499087845716,1.952247842948302,0.0,0.0002898550724637681
uniform,d99b18,desktop,0.0,0.1696323397340782,2.355879578385562,0.0,0.0002946375957572186
uniform,2e93e6,desktop,0.0,0.21072515420442173,1.8780510341743053,0.0,0.00027056277056277056
uniform,7613f2,desktop,0.0,0.1864615172197554,2.0739685333558784,0.0,0.00028968713789107763
uniform,460bf9,desktop,0.0,0.2175697134976854,1.8952105584348717,0.0,0.00019290123456790122
uniform,536e7f,mobile,0.0,0.20480519433127928,1.9770126163403825,0.0,0.00040816326530612246
uniform,4adea3,mobile,0.0,0.33560316567971527,1.3281808144048104,0.0,0.0005102040816326531
uniform,58a60d,mobile,0.0,0.3105073819770639,1.427433773741154,0.0,0.00039277297721916735
uniform,cced5f,poster,0.0,0.3315834736448052,1.3063404240418377,0.0,0.0008818342151675485
uniform,b2d2fa,poster,0.0,0.2972530666764013,1.4809448844287556,0.0,0.0005197505197505198
uniform,05e980,poster,0.0,0.19128640443306227,2.0345064723052912,0.0,0.0017605633802816902
uniform,708a08,poster,0.0,0.23788494371344793,1.7856863603922366,0.0,0.0003248862897985705
uniform,085001,poster,0.0,0.2201822523191668,1.9337238204791958,0.0,0.0006666666666666666
uniform,9afe5f,poster,0.0,0.3206868505173732,1.3148645334908862,0.0,0.00026441036488630354
uniform,65576e,poster,0.0,0.1677363237985825,2.2118880792826334,0.0,0.00041152263374485596
uniform,c27e4e,mobile,0.0,0.4012888919518256,1.0501082056311726,0.0,0.00013517166801838335
uniform,9efc81,web,0.0,0.20479831599190854,1.9739160454822677,0.0,0.00020064205457463884
uniform,13af7a,mobile,0.0,0.3495811760686718,1.210718098890718,0.0,0.0001819505094614265
uniform,207fd4,mobile,0.0,0.27245015210952683,1.6106866115942058,0.0,0.0001742767514813524
uniform,e3d203,mobile,0.0,0.27158717038819546,1.600283053888367,0.0,0.0001824817518248175
uniform,17a8d1,mobile,0.0,0.3606117201971863,1.185817730966479,0.0,0.00013517166801838335
uniform,f639bf,mobile,0.0,0.2560355163428056,1.6400720266765108,0.0,0.0001920860545524395
uniform,166bc9,web,0.0,0.1981175193304335,1.9922766590852448,0.0,0.00019825535289452815
uniform,5c88b8,web,0.0,0.19573346114489926,1.9686644242000688,0.0,0.00020177562550443906
uniform,4e81ec,web,0.0,0.21360646327152186,1.8463506711265774,0.0,0.00019654088050314466
uniform,69a8c4,web,0.0,0.21645617741450762,1.8656508500357272,0.0,0.0002061855670103093
uniform,27d67e,web,0.0,0.22125577028247206,1.8872900143176268,0.0,0.00016534391534391533
uniform,781b7e,web,0.0,0.24430235151031643,1.7810403274009685,0.0,0.00015639662183296842
uniform,6eb097,poster,0.0,0.15039647826789088,2.415423317810718,0.0,0.00013419216317767042
uniform,1fdbf2,desktop,0.0,0.235905601480525,1.7455593574273092,0.0,0.0003518648838845883
uniform,1bf5c6,desktop,0.0,0.17341862587287876,2.131236164651386,0.0,0.00026469031233456857
uniform,3d6147,desktop,0.0,0.18039402208862243,2.166710154469203,0.0,0.000244140625
uniform,1b436f,desktop,0.0,0.23562620460457967,1.7471756189583698,0.0,0.0002337540906965872
uniform,72062c,web,0.0,0.18277441154545626,2.117427001482549,0.0,0.0001585288522511097
uniform,e2aa7e,desktop,0.0,0.21585757810515183,2.0058749793766815,0.0,0.00023507287259050304
uniform,a7ac1b,desktop,0.0,0.24550070800943363,1.8700869677053396,0.0,0.00041152263374485596
uniform,9b4285,desktop,0.0,0.1672727852276812,2.294685994163798,0.0,0.00032938076416337287
uniform,29227b,web,0.0,0.2669736154081861,1.6324563201545002,0.0,0.00012584948401711554
uniform,0529f2,desktop,0.0,0.21757029132037736,1.9403459906810197,0.0,0.00026371308016877635
uniform,cccd2a,desktop,0.0,0.22101031285233197,1.8298183421164271,0.0,0.00021312872975277067
uniform,3b078d,mobile,0.0,0.3205239311830169,1.3267397297576804,0.0,0.00015867978419549348
uniform,cba28b,mobile,0.0,0.28852238779220424,1.6495694265689416,0.0,0.00015206812652068127
uniform,f30633,mobile,0.0,0.30273769402469247,1.408940495225535,0.0,0.00013034410844629823
uniform,840bb8,mobile,0.0,0.23910934289870472,1.8016213242810735,0.0,0.0001774937877174299
uniform,a64332,mobile,0.0,0.3943621636789848,1.0942338341136832,0.0,0.00015867978419549348
uniform,3141d9,mobile,0.0,0.4538570420307986,0.8972862734048994,0.0,0.00013770311209033325
uniform,8cf0d4,mobile,0.0,0.34026347218610353,1.310787506538877,0.0,0.00015192950470981463
uniform,58b56c,mobile,0.0,0.29023029541474643,1.5164687898849873,0.0,0.0002305209774089442
uniform,1e1131,poster,0.0,0.18145138891780832,2.088631499899421,0.0,0.00042087542087542086
uniform,98474c,poster,0.0,0.27731152702999173,1.611450385658202,0.0,0.0004098360655737705
uniform,8da42b,poster,0.0,0.1884099589597944,2.0726163388198033,0.0,0.0002061855670103093
uniform,3734cb,poster,0.0,0.22012025363918303,1.7861344667076426,0.0,0.00023741690408357076
uniform,32fcbf,poster,0.0,0.24043513836809183,1.8236348730120755,0.0,0.00015006002400960383
uniform,8770ed,mobile,0.0,0.33009945272378555,1.314275873119679,0.0,0.0001311991603253739
uniform,1ee232,web,0.0,0.20022159549245672,2.1180677473834493,0.0,0.00017568517217146873
uniform,f04d2e,web,0.0,0.27691081845996823,1.5185886499006287,0.0,0.00023741690408357076
uniform,1b3eec,web,0.0,0.196920910664033,2.0689625089978283,0.0,0.00019708316909735908
uniform,183534,web,0.0,0.24407234285207477,1.6962494476387766,0.0,0.0002147766323024055
uniform,43a952,poster,0.0,0.2389956971300592,1.778029643114081,0.0,0.0001490757304710793
uniform,0ec997,poster,0.0,0.18168783861075932,2.16884953164161,0.0,0.00010860121633362293
uniform,5ac518,web,0.0,0.22275078969758808,1.7816160105086274,0.0,0.00019825535289452815
uniform,026dd2,web,0.0,0.2508884776565769,1.6811001756899924,0.0,0.0002553626149131767
uniform,caa82e,web,0.0,0.19368252101849143,2.0965858843399428,0.0,0.0001725327812284334
uniform,f7c681,poster,0.0,0.339229953454912,1.276778447919189,0.0,0.00013620266957232362
uniform,afdcf4,desktop,0.0,0.22351252141475797,1.8366322696597361,0.0,0.0004042037186742118
uniform,3b1c3e,web,0.0,0.17536867397972714,2.227648027605043,0.0,0.00018429782528566163
uniform,a077e7,poster,0.0,0.1808084412643799,2.145852565502677,0.0,0.00011566042100393245
uniform,a76ed6,web,0.0,0.24829794874393188,1.7034257415379286,0.0,0.0002061855670103093
uniform,d98c2a,desktop,0.0,0.20660595410983199,1.9361126084288725,0.0,0.0003450655624568668
uniform,f7681d,desktop,0.0,0.2661699608761324,1.5769600768816454,0.0,0.0002898550724637681
uniform,3b203e,desktop,0.0,0.20392866318386296,1.9255038931284507,0.0,0.00029568302779420464
uniform,e39798,desktop,0.0,0.22850629757440388,1.8000340735284737,0.0,0.00038138825324180017
uniform,7f066d,desktop,0.0,0.2092115579331862,1.9107811510939814,0.0,0.0003450655624568668
uniform,e78858,desktop,0.0,0.1593510044795912,2.321898358214644,0.0,0.0003819709702062643
uniform,c807dc,desktop,0.0,0.2067117218693097,1.869548388935179,0.0,0.00036231884057971015
uniform,03474c,desktop,0.0,0.21742850492418936,1.8305364627636547,0.0,0.00038138825324180017
uniform,533099,mobile,0.0,0.2595326429144877,1.6442928248922846,0.0,0.000646830530401035
uniform,9aa231,mobile,0.0,0.2880446692415805,1.6422156902874183,0.0,0.0006002400960384153
uniform,722b8c,poster,0.0,0.1660125385644345,2.224376917020589,0.0,0.0008665511265164644
uniform,c6b002,mobile,0.0,0.2760029689131729,1.564514565344286,0.0,0.00020242914979757084
uniform,7c5f7f,mobile,0.0,0.35019239663349894,1.21677302171365,0.0,0.00024330900243309004
uniform,83d7ce,mobile,0.0,0.22423250166063782,1.8122158324429312,0.0,0.00024330900243309004
uniform,bae388,mobile,0.0,0.1888078721402664,2.0268125327743376,0.0,0.0003045066991473812
uniform,2b0b4e,mobile,0.0,0.28199289711377207,1.557301507883083,0.0,0.0001824817518248175
uniform,3f9682,mobile,0.0,0.23906010180885107,1.7656919906677084,0.0,0.0002281021897810219
uniform,37cecc,mobile,0.0,0.24916546906334014,1.7978456838379393,0.0,0.0002021835826930853
uniform,5cfc08,poster,0.0,0.14274882491875254,2.3399427131687287,0.0,0.0002145002145002145
uniform,98b958,poster,0.0,0.23488949519521235,1.747237708400441,0.0,0.0004098360655737705
uniform,e7e220,poster,0.0,0.3461576373563352,1.2364162310513032,0.0,6.572029442691903e-05
uniform,bccea2,web,0.0,0.25102695951027765,1.6979266436863836,0.0,0.00034317089910775565
uniform,e7163d,web,0.0,0.24628361128411536,1.7813875977342288,0.0,0.0003429355281207133
uniform,c143b6,poster,0.0,0.17576649533879363,2.128714730783697,0.0,0.0003360215053763441
uniform,093c65,poster,0.0,0.29173607157659215,1.5666560149728568,0.0,0.00026068821689259646
uniform,d07b98,web,0.0,0.24402000232256948,1.7343283487473404,0.0,0.0003429355281207133
uniform,162809,poster,0.0,0.2173628672733462,1.8328335471152541,0.0,0.0001525320317266626
uniform,adbe00,poster,0.0,0.15915374738979426,2.26819842298325,0.0,0.00020973154362416107
uniform,4dae22,poster,0.0,0.1659292015421694,2.2528107733444074,0.0,0.00019739439399921041
uniform,ead495,web,0.0,0.2114966824124853,1.90518310405592,0.0,0.00021523891519586742
uniform,dda275,web,0.0,0.16272887574025852,2.202498707523515,0.0,0.0002858776443682104
uniform,2b56f2,web,0.0,0.19923480611813135,1.9479252092895198,0.0,0.00029568302779420464
uniform,6b7c75,web,0.0,0.20333941503959513,1.9645250702371042,0.0,0.0002577319587628866
uniform,17e6bf,poster,0.0,0.18744838860459506,1.9885475743758583,0.0,0.00017140898183064793
uniform,39b696,desktop,0.0,0.23984863742270465,1.777920502647747,0.0,0.000794912559618442
uniform,e9b8fa,web,0.0,0.2042216652389966,1.936992043163697,0.0,0.0002577319587628866
uniform,ad9e6b,desktop,0.0,0.11990106702957712,2.5751417553492795,0.0,0.0002592016588906169
uniform,72cfd2,desktop,0.0,0.18963249928015136,2.16418216410723,0.0,0.0003289473684210526
uniform,271112,web,0.0,0.17312576527062914,2.177362989598053,0.0,0.0002577319587628866
uniform,8e0c5b,desktop,0.0,0.2339438269252725,1.7467116042022823,0.0,0.00019944156362185878
uniform,306281,desktop,0.0,0.17314789795740906,2.1838595968006587,0.0,0.0003075030750307503
