model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std
gemini-3.1-flash-lite,desktop,0.15884146257995926,0.23699381338378878,0.275268506055168,0.1642711621732878,4.087648352333769,3.687980566513703
gemini-3.1-flash-lite,mobile,0.03859389897301192,0.2044589638938836,0.10961578852918372,0.17424964393618209,7.763548878490906,3.3677397070796498
gemini-3.1-flash-lite,poster,0.18024884903576113,0.26356239105421064,0.27422627230981655,0.2047144169293583,5.029507897475587,4.354776615163825
gemini-3.1-flash-lite,web,0.041485065457369255,0.16625247193201564,0.13264675392738695,0.1458553139848488,7.441539091779312,3.7824648548078987
gpt-5.4-mini,desktop,0.2934279946684188,0.15741841998197637,0.3910113765568194,0.05870256362725599,1.3798174977408981,0.3620230553468987
gpt-5.4-mini,mobile,0.18187613224896482,0.1340997597269463,0.33435715682160894,0.07869197681479043,2.56725322865386,0.9883086985816913
gpt-5.4-mini,poster,0.31998305524810033,0.11024811464552971,0.3907165548028006,0.07906101730258278,1.721608467490946,0.7290667952031467
gpt-5.4-mini,web,0.19696057476530834,0.12126419013111293,0.30517021558756063,0.08086698098652195,2.030620618118433,0.7646872946596676
qwen-3.5-plus,desktop,0.35203640784982526,0.19152193103449489,0.42896125251702005,0.07366066032842994,1.2492603413635655,0.37568685740043317
qwen-3.5-plus,mobile,0.3074396857392666,0.10096205178237128,0.4028295417488351,0.04727754150757728,1.9766295574350845,0.7202387459079842
qwen-3.5-plus,poster,0.4579918720982695,0.14142547191516586,0.45067365283482425,0.08843404735723956,1.3051441838518032,0.5409979162560408
qwen-3.5-plus,web,0.29946267647737235,0.19256571878642081,0.35451769104353564,0.09656737803961267,1.6622663207825852,0.510053002065235
