model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std
claude-opus-4.6,desktop,0.4035472326409986,0.19266441860986672,0.48791201403558365,0.08941337921685055,1.4047877882152369,0.7332719013320351
claude-opus-4.6,mobile,0.2751199179643296,0.2103120745026802,0.42753278129430394,0.10822033730007571,2.227614626341655,0.9905729011355856
claude-opus-4.6,poster,0.37062161589658943,0.18283749268663527,0.4882585467031811,0.10595154049965576,1.5608765328344698,1.0811676072053646
claude-opus-4.6,web,0.3252878650114069,0.1910612228090828,0.46850174862218147,0.09177728857026991,1.4880063079753263,0.7455167665295643
claude-sonnet-4.6,desktop,0.39280885170468743,0.180489087439701,0.4883174165506876,0.08086469750159712,1.2403198089238754,0.6238082706590052
claude-sonnet-4.6,mobile,0.18733647851283003,0.20334948912208262,0.3671406449971125,0.12281559435535588,2.922739451587869,1.4004675634727115
claude-sonnet-4.6,poster,0.2696690352927325,0.16734348414367173,0.4439952577402723,0.11160938259945055,1.9053298194905253,1.2801180200276558
claude-sonnet-4.6,web,0.26510126588529326,0.16742509975290676,0.4425755663756155,0.08400412827238808,1.6278492095389714,0.8269000579378037
gemini-3.1-flash-lite,desktop,0.1134434588383762,0.25796378194185904,0.2325182806683835,0.21714921476307403,6.09828628069332,4.055624595142987
gemini-3.1-flash-lite,mobile,0.11235682791177348,0.2504214822175601,0.21699941006533463,0.2190670751758629,5.950650341039402,3.6234098742933503
gemini-3.1-flash-lite,poster,0.18592003538063362,0.23978751634967793,0.3339752920150148,0.2031685733954141,3.9937022355095695,3.43968228047146
gemini-3.1-flash-lite,web,0.0069020462318172575,0.1794267270036455,0.1511733340705128,0.1813224946969163,7.250776738026637,3.6258973825510274
gemini-3.1-pro,desktop,0.22018051807897107,0.2582373771608853,0.30128277895228184,0.2083702086517905,4.978216389626917,3.5794910228832313
gemini-3.1-pro,mobile,0.13368244314153105,0.21295863245623184,0.23146231000954245,0.17793304673978647,5.625140868107754,2.9212662846352364
gemini-3.1-pro,poster,0.12884800023446955,0.20845805349131943,0.2555505587258869,0.1983530068595788,5.482217822963907,3.3979728248775376
gemini-3.1-pro,web,0.09283778300686074,0.21135601817395444,0.23310953691367914,0.1894302723065062,5.744349533678875,3.560325319820972
gpt-5.4,desktop,0.5059728493007979,0.15605329977337368,0.5423599144870088,0.07134419145198412,0.955313525146861,0.4117508954791547
gpt-5.4,mobile,0.36917927490138014,0.16491738181248994,0.4737189192751804,0.08249657784167087,1.8179918342598445,0.7934972474503211
gpt-5.4,poster,0.3876786667307916,0.16943549911388817,0.5008441119930815,0.10076179997908177,1.4716642255534276,1.0612402974685535
gpt-5.4,web,0.37083279846017697,0.14504834423336277,0.4949730640435613,0.06581209737302568,1.1361017057754401,0.3950342765746829
gpt-5.4-mini,desktop,0.3987134282263255,0.16834469321722956,0.49290843310310617,0.06710159673328805,1.1039382171641283,0.4248810990242161
gpt-5.4-mini,mobile,0.22953805255250206,0.14806990244312251,0.41272602885588255,0.07579589620007901,2.197223042479419,0.8774474532547493
gpt-5.4-mini,poster,0.25522185002648445,0.17706475398374827,0.4481997595926688,0.1038597938134717,1.8113207248000927,1.2207377511154494
gpt-5.4-mini,web,0.27162540777552824,0.13449361973365914,0.4571224395479452,0.0609570609822925,1.2871057818530571,0.43618079617402405
qwen-3.5-flash,desktop,0.35871716819344945,0.18475586875119485,0.44491339425376586,0.10535158680062784,2.0030547295287473,1.5050163888599688
qwen-3.5-flash,mobile,0.31159334255332977,0.16277104674522208,0.4110214003994339,0.09931661045632853,2.5635252061989307,1.2575491594305894
qwen-3.5-flash,poster,0.24617143146769008,0.16752972872977862,0.40839469938690004,0.11449548327991087,2.483496976635875,1.5781792510907038
qwen-3.5-flash,web,0.2627761791803774,0.14483809602829642,0.4308908572170823,0.0808731811012245,1.8061804544226547,0.8947545678367889
qwen-3.5-plus,desktop,0.4023644146189713,0.16236835175974812,0.4884769924671047,0.0772388686327464,1.2738038000011513,0.6058368805920444
qwen-3.5-plus,mobile,0.3253568468958068,0.1577889268992496,0.4486467288690501,0.08156100570205396,1.9992666637560699,0.822918505797911
qwen-3.5-plus,poster,0.3225504836248217,0.18242651200425886,0.46778539275494485,0.10300804484501278,1.7581371180591068,1.1445597306730524
qwen-3.5-plus,web,0.29758925247622753,0.14630613728886863,0.460488139743888,0.07021302441882808,1.415358923234594,0.589310225937763
ui-tars-1.5,desktop,0.10787548926422484,0.1713740932687997,0.15893232779575933,0.13341195325295202,7.442685637958762,2.66906002239293
ui-tars-1.5,mobile,-0.008359119944472429,0.11107493179787967,0.04550269435486832,0.09956758562977468,8.818799041093106,1.7802882292666025
ui-tars-1.5,poster,0.16927564768347106,0.17271831302727966,0.24261724026348797,0.1348500962643209,5.44707213689288,2.190013659505183
ui-tars-1.5,web,0.07640422262617019,0.1714474708353367,0.12280046391083639,0.12824526365284816,8.083215550760814,2.2990048912220935
