model,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std
claude-opus-4.6,0.3853995109508221,0.22677677738643098,0.4831991164735078,0.12680917488251073,1.6196358460060871,1.0971593134956037
claude-sonnet-4.6,0.29520811068257935,0.22683548157986724,0.4342924015687527,0.1279910900564368,1.975234151163492,1.419823266780109
gemini-3.1-flash-lite,0.1562259637843116,0.2767608243157699,0.2625210775424446,0.22816450125525864,5.438727446883075,3.8892440533477726
gemini-3.1-pro,0.1923227834454483,0.23751277419019529,0.28334173619901204,0.19714134106581632,5.10909850407585,3.257842416941043
gpt-5.4,0.42817470120587897,0.16911366722691493,0.5083001109088441,0.08686850706925424,1.258965972657271,0.7100232503928463
gpt-5.4-mini,0.32056536358171545,0.16219367943140525,0.4572619866023361,0.07919477794188995,1.4432380095656447,0.7461454079470204
qwen-3.5-plus,0.4863136887025557,0.16738553840750792,0.5358401014760718,0.08128364078412748,1.059991832293768,0.5498778554816011
ui-tars-1.5,0.10990072578598513,0.17282807655918864,0.16330818755045035,0.15566615891855656,7.247142251394064,2.700144723172342
