model,n,mean,ci95_lo,ci95_hi
gpt-5.4,1980,0.3424423033949175,0.33444670492191403,0.3503862433242888
gemini-3.1-flash-lite,1980,0.30589412927066023,0.2978926278159629,0.314189644092493
gemini-3.1-pro,1980,0.3036669907383352,0.2955915804991934,0.3118153878718497
qwen-3.5-plus,1978,0.27826965480018745,0.2702606592638769,0.28622321369970516
qwen-3.5-flash,1978,0.25067580242973175,0.24280377089629884,0.25867443602218937
claude-opus-4.6,1980,0.24981423334592096,0.24054202206763134,0.258722556272666
claude-sonnet-4.6,1980,0.21913133158055229,0.21081878608629953,0.2275590975617948
gpt-5.4-mini,1980,0.21737904531815738,0.20918840047049275,0.22561650315022552
ui-tars-1.5,1980,0.10036351947729223,0.09272900953422045,0.10822812330724274
