baseline,image_id,category,CC,SIM,KL,NSS,AUC
center_g25,f9e25e,desktop,-0.10801648452992085,0.41175432853719607,1.3941730382817699,-0.1106576586521514,0.45266635779234077
center_g25,3ec21e,desktop,0.13857017844352815,0.38724249196577964,1.138191692383881,0.27773801280739957,0.6542829600292631
center_g25,1fdbf2,desktop,-0.30137933829658553,0.28706730889297266,1.7053905777248581,-0.4337929216406667,0.3896130723992306
center_g25,5a6a69,desktop,0.4834545029351793,0.537818919797094,0.7631637753728209,0.7473364769909144,0.7087804616126485
center_g25,2fe128,desktop,0.037037036212609925,0.3497584507573013,1.7009561847390318,0.04915111688163199,0.5282991864260641
center_g25,67225a,desktop,-0.03821433240347287,0.29227625068744645,1.8752100981284987,-0.012409537833617108,0.508171821831447
center_g25,b5dab9,desktop,0.3707505161249436,0.474604791102331,1.462778890190906,0.6359722598884678,0.6465293936333381
center_g25,2bb7d4,desktop,0.08178846473739368,0.3867420285868364,1.5678253665133735,0.11400813866536898,0.5600371278588397
center_g25,075286,desktop,-0.23280886983738713,0.18599343531439919,3.039722274373952,-0.35301029992810523,0.3992978138202564
center_g25,7cc04a,desktop,0.07205734607123829,0.3198430371909486,2.059409655533491,0.19856529726175345,0.5703501914724817
center_g25,3664a3,mobile,-0.09816687780245575,0.30697536291700867,1.873484951509983,-0.14516838404814378,0.5216614646705863
center_g25,ebe076,mobile,-0.030972177297891076,0.33841074846794617,1.9532020517246167,0.005439510196872351,0.5264575080241294
center_g25,c9b04c,poster,0.09589411084551865,0.36014243063394813,2.6574210132988982,0.16845886415892888,0.5938685593458638
center_g25,4ae90b,mobile,0.3141793492789481,0.5246115419709292,1.1248898719759903,0.4297492501910389,0.6277927797116815
center_g25,a77bd5,mobile,0.48285837749156996,0.5737362131115662,0.8926869924797437,0.6299594345390378,0.6675533633497734
center_g25,1b307f,mobile,-0.2319079141070686,0.19333402315455256,2.8817026710930946,-0.411231492622562,0.4196034930702234
center_g25,3d29ac,mobile,0.10589757657272117,0.45137287108511004,1.36091281740325,0.0657631199423015,0.5392656263059113
center_g25,58b56c,mobile,0.28533446372449334,0.42322935616258495,1.3719016082615738,0.3865953570729812,0.6152747076106124
center_g25,1dd09f,mobile,0.41351504015708734,0.4545898625152315,1.3840405862000384,0.6359736952901799,0.6615432011228746
center_g25,c08f50,poster,0.4434020675356032,0.598712647684913,0.5545440419072517,0.5443712159244678,0.6819778430300387
center_g25,f30633,mobile,0.23391522601767267,0.4437748034169388,1.1568719666717313,0.3237948588887708,0.626603519666853
center_g25,587857,mobile,-0.3286868080152318,0.1281264308795426,3.723639429076949,-0.6027413503417172,0.28391648326823454
center_g25,aabc06,poster,0.3183647575687921,0.4891018575601484,0.7932761543310854,0.5383327300949897,0.7000892803183479
center_g25,98474c,poster,0.5493964266101063,0.5859586371727936,0.586624138820493,0.8309475658037683,0.7363180479981882
center_g25,6a889e,poster,0.005003228576006845,0.41494102495629803,1.2963621313147433,0.0657927185562839,0.5706089119900678
center_g25,dd0d82,poster,-0.075195881727252,0.26670482036567783,3.2964254636691592,-0.10862826135959794,0.4469744346717038
center_g25,61707e,web,0.06489869351728535,0.4482950490298464,1.1104300760220909,0.1474283453853784,0.5756436956550076
center_g25,fac314,poster,0.09378022919296375,0.40052035818469006,1.2660810919347183,0.20124447709588755,0.6164691162089209
center_g25,60593d,web,0.49088281438766435,0.5223609989912907,0.7528240577290194,0.8266936890610523,0.734274792391853
center_g25,c3ce89,web,0.05256983697569437,0.2462508455349503,1.9668258062653496,0.14879729816274412,0.5631112000828481
center_g25,d48310,web,0.2026201990412123,0.32606653314956613,1.6140000250621247,0.4354206227476361,0.6613176803239286
center_g25,4ea758,poster,0.43298530687980347,0.47184739681861954,0.8681206182960706,0.8867748948793762,0.7575763934312342
center_g25,927a3c,web,0.12311390168732676,0.3782810090799526,1.5980141541162485,0.32919930565797556,0.581731934644262
center_g25,ce9bfe,web,0.03753056515594768,0.34048981725414684,1.575462295150021,0.0943025611487409,0.5918334091655757
center_g25,bb34f1,poster,0.7369848468611975,0.6160304869625751,0.4641443249937135,1.286241537660037,0.8048549251193096
center_g25,69a8c4,web,0.21052041322318676,0.472629442257471,0.949768396379066,0.35668162340532367,0.6553831491676436
center_g25,0b81bd,poster,0.24132989710742242,0.3766985456920517,1.2496501515000213,0.5532813917400762,0.7166577427323917
center_g25,52a3d2,web,0.36564110841598635,0.49140942290427503,0.9021902857084385,0.5724430530074365,0.7017075770521692
center_g25,a4d155,web,0.078065173352409,0.35832121454310056,1.4691770365383408,0.16956632727188473,0.6104796695943305
center_g25,0f8ece,web,0.10942854705927983,0.4025332252365158,1.525814911486358,0.37188764243162725,0.6419410448214826
